"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
1,0,5,1,"iHOOI","u",1,0.0890956135168387
1,0,5,1,"iHOOI","V",1,0.115736399567531
1,0,5,1,"iHOOI","W",1,0.145071496384746
1,0,5,1,"iHOOI","u",2,0.190612710821981
1,0,5,1,"iHOOI","V",2,0.364570579450302
1,0,5,1,"iHOOI","W",2,0.614360704041423
1,1,6.25,1,"JisstPCA0 (BIC)","u",1,0.0600623963816306
1,1,6.25,1,"JisstPCA0 (BIC)","V",1,0.0634281736850394
1,1,6.25,1,"JisstPCA0 (BIC)","W",1,0.0602415351695921
1,1,6.25,1,"JisstPCA0 (BIC)","u",2,0.1534417674267
1,1,6.25,1,"JisstPCA0 (BIC)","V",2,0.116959519707361
1,1,6.25,1,"JisstPCA0 (BIC)","W",2,0.123112833279368
1,1,6.25,1,"JisstPCA0 (oracle)","u",1,0.0600623963816306
1,1,6.25,1,"JisstPCA0 (oracle)","V",1,0.0634281736850394
1,1,6.25,1,"JisstPCA0 (oracle)","W",1,0.0602415351695921
1,1,6.25,1,"JisstPCA0 (oracle)","u",2,0.1534417674267
1,1,6.25,1,"JisstPCA0 (oracle)","V",2,0.116959519707361
1,1,6.25,1,"JisstPCA0 (oracle)","W",2,0.123112833279368
1,1,6.25,1,"G-JisstPCA0 (BIC)","u",1,0.0600785166051628
1,1,6.25,1,"G-JisstPCA0 (BIC)","V",1,0.0634225868885629
1,1,6.25,1,"G-JisstPCA0 (BIC)","W",1,0.0602471169138389
1,1,6.25,1,"G-JisstPCA0 (BIC)","u",2,0.153437500159837
1,1,6.25,1,"G-JisstPCA0 (BIC)","V",2,0.11696086130091
1,1,6.25,1,"G-JisstPCA0 (BIC)","W",2,0.123166596444708
1,1,6.25,1,"G-JisstPCA0 (oracle)","u",1,0.0600785166051628
1,1,6.25,1,"G-JisstPCA0 (oracle)","V",1,0.0634225868885629
1,1,6.25,1,"G-JisstPCA0 (oracle)","W",1,0.0602471169138389
1,1,6.25,1,"G-JisstPCA0 (oracle)","u",2,0.153437500159837
1,1,6.25,1,"G-JisstPCA0 (oracle)","V",2,0.11696086130091
1,1,6.25,1,"G-JisstPCA0 (oracle)","W",2,0.123166596444708
1,1,6.25,1,"JisstPCA1 (BIC)","u",1,0.0600623963816306
1,1,6.25,1,"JisstPCA1 (BIC)","V",1,0.0634281736850394
1,1,6.25,1,"JisstPCA1 (BIC)","W",1,0.0602415351695921
1,1,6.25,1,"JisstPCA1 (BIC)","u",2,0.152550424261562
1,1,6.25,1,"JisstPCA1 (BIC)","V",2,0.113548634380492
1,1,6.25,1,"JisstPCA1 (BIC)","W",2,0.117389644453776
1,1,6.25,1,"JisstPCA1 (oracle)","u",1,0.0600623963816306
1,1,6.25,1,"JisstPCA1 (oracle)","V",1,0.0634281736850394
1,1,6.25,1,"JisstPCA1 (oracle)","W",1,0.0602415351695921
1,1,6.25,1,"JisstPCA1 (oracle)","u",2,0.152550424261562
1,1,6.25,1,"JisstPCA1 (oracle)","V",2,0.113548634380492
1,1,6.25,1,"JisstPCA1 (oracle)","W",2,0.117389644453776
1,1,6.25,1,"G-JisstPCA1 (BIC)","u",1,0.0600785166051628
1,1,6.25,1,"G-JisstPCA1 (BIC)","V",1,0.0634225868885629
1,1,6.25,1,"G-JisstPCA1 (BIC)","W",1,0.0602471169138389
1,1,6.25,1,"G-JisstPCA1 (BIC)","u",2,0.152533597478821
1,1,6.25,1,"G-JisstPCA1 (BIC)","V",2,0.113543382111359
1,1,6.25,1,"G-JisstPCA1 (BIC)","W",2,0.117437944609126
1,1,6.25,1,"G-JisstPCA1 (oracle)","u",1,0.0600785166051628
1,1,6.25,1,"G-JisstPCA1 (oracle)","V",1,0.0634225868885629
1,1,6.25,1,"G-JisstPCA1 (oracle)","W",1,0.0602471169138389
1,1,6.25,1,"G-JisstPCA1 (oracle)","u",2,0.152533597478821
1,1,6.25,1,"G-JisstPCA1 (oracle)","V",2,0.113543382111359
1,1,6.25,1,"G-JisstPCA1 (oracle)","W",2,0.117437944609126
1,1,6.25,1,"iHOSVD","u",1,0.0607642073200501
1,1,6.25,1,"iHOSVD","V",1,0.0791516880288951
1,1,6.25,1,"iHOSVD","W",1,0.0811279874658956
1,1,6.25,1,"iHOSVD","u",2,0.173095837638686
1,1,6.25,1,"iHOSVD","V",2,0.167269389093465
1,1,6.25,1,"iHOSVD","W",2,0.180807517548818
1,1,6.25,1,"iHOOI","u",1,0.0602179969096215
1,1,6.25,1,"iHOOI","V",1,0.066179130979514
1,1,6.25,1,"iHOOI","W",1,0.0705480314920427
1,1,6.25,1,"iHOOI","u",2,0.153030884615626
