factor,dim,SNR,seed,iteration,stat_err,optim_loss
u,60,1.5,6,1,0.241854048399483,437330.884722007
V,60,1.5,6,1,0.362161179215675,437330.884722007
W,60,1.5,6,1,0.404412354958379,437330.884722007
u,60,1.5,6,2,0.240432797920216,437304.057977961
V,60,1.5,6,2,0.351189535800434,437304.057977961
W,60,1.5,6,2,0.383294142464342,437304.057977961
u,60,1.5,6,3,0.240178023747072,437303.30858686
V,60,1.5,6,3,0.348524387853271,437303.30858686
W,60,1.5,6,3,0.38075260472054,437303.30858686
u,60,1.5,6,4,0.240084352582117,437303.273610338
V,60,1.5,6,4,0.347669193469237,437303.273610338
W,60,1.5,6,4,0.380195437925621,437303.273610338
u,60,1.5,6,5,0.240056648984257,437303.271626892
V,60,1.5,6,5,0.347422145336401,437303.271626892
W,60,1.5,6,5,0.380055262607156,437303.271626892
u,60,1.5,6,6,0.240049289103089,437303.271502066
V,60,1.5,6,6,0.347354726937383,437303.271502066
W,60,1.5,6,6,0.380018600390312,437303.271502066
u,60,1.5,6,7,0.240047429195041,437303.271493701
V,60,1.5,6,7,0.347336846321476,437303.271493701
W,60,1.5,6,7,0.380008825359346,437303.271493701
u,60,1.5,6,8,0.240046970757617,437303.271493118
V,60,1.5,6,8,0.347332171139268,437303.271493118
W,60,1.5,6,8,0.380006180948786,437303.271493118
u,60,1.5,6,9,0.240046859225865,437303.271493075
V,60,1.5,6,9,0.347330956657372,437303.271493075
W,60,1.5,6,9,0.380005456837106,437303.271493075
u,60,1.5,6,10,0.240046832282034,437303.271493073
V,60,1.5,6,10,0.347330641801242,437303.271493073
W,60,1.5,6,10,0.38000525657309,437303.271493073
u,60,1.5,7,0,0.335807120818379,NaN
u,60,1.5,7,1,0.227706011694953,438111.444632762
V,60,1.5,7,1,0.345393138571726,438111.444632762
W,60,1.5,7,1,0.299282847059204,438111.444632762
u,60,1.5,7,2,0.230812647840745,438082.162385341
V,60,1.5,7,2,0.340307180678797,438082.162385341
W,60,1.5,7,2,0.272876166301515,438082.162385341
u,60,1.5,7,3,0.231937289174554,438081.322623105
V,60,1.5,7,3,0.343419901551357,438081.322623105
W,60,1.5,7,3,0.270980005173833,438081.322623105
u,60,1.5,7,4,0.23220053686271,438081.278530345
V,60,1.5,7,4,0.344386191982548,438081.278530345
W,60,1.5,7,4,0.270768460137229,438081.278530345
u,60,1.5,7,5,0.232261864302784,438081.27573075
V,60,1.5,7,5,0.344650436454725,438081.27573075
W,60,1.5,7,5,0.270721256414645,438081.27573075
u,60,1.5,7,6,0.232276575588077,438081.275535578
V,60,1.5,7,6,0.344721618338272,438081.275535578
W,60,1.5,7,6,0.270707253750335,438081.275535578
u,60,1.5,7,7,0.232280205470173,438081.275521213
V,60,1.5,7,7,0.34474080750922,438081.275521213
W,60,1.5,7,7,0.270702934103341,438081.275521213
u,60,1.5,7,8,0.232281121795844,438081.27552012
V,60,1.5,7,8,0.34474600216565,438081.27552012
W,60,1.5,7,8,0.27070161327949,438081.27552012
u,60,1.5,7,9,0.232281357381657,438081.275520034
V,60,1.5,7,9,0.344747415605321,438081.275520034
W,60,1.5,7,9,0.270701214158694,438081.275520034
u,60,1.5,7,10,0.232281418866625,438081.275520026
V,60,1.5,7,10,0.34474780223308,438081.275520026
W,60,1.5,7,10,0.270701094644734,438081.275520026
u,60,1.5,8,0,0.324747570409252,NaN
u,60,1.5,8,1,0.231033556713776,438593.146129884
V,60,1.5,8,1,0.346881736370602,438593.146129884
W,60,1.5,8,1,0.296163622074069,438593.146129884
u,60,1.5,8,2,0.230259659878671,438571.868879498
V,60,1.5,8,2,0.330746417639381,438571.868879498
W,60,1.5,8,2,0.278534161850308,438571.868879498
u,60,1.5,8,3,0.230552698533402,438571.267719979
V,60,1.5,8,3,0.329508725544354,438571.267719979
W,60,1.5,8,3,0.276650294325232,438571.267719979
u,60,1.5,8,4,0.230652122076614,438571.240027057
V,60,1.5,8,4,0.329382977220276,438571.240027057
W,60,1.5,8,4,0.276399848400774,438571.240027057
u,60,1.5,8,5,0.230680376658825,438571.238528774
V,60,1.5,8,5,0.329370012327611,438571.238528774
W,60,1.5,8,5,0.276368981321991,438571.238528774
u,60,1.5,8,6,0.230688137639969,438571.238440381
V,60,1.5,8,6,0.329368188809174,438571.238440381
W,60,1.5,8,6,0.276366976221285,438571.238440381
u,60,1.5,8,7,0.230690242145252,438571.238434869
V,60,1.5,8,7,0.329367655839155,438571.238434869
W,60,1.5,8,7,0.276367602460168,438571.238434869
u,60,1.5,8,8,0.230690808634892,438571.238434511
V,60,1.5,8,8,0.329367439113669,438571.238434511
W,60,1.5,8,8,0.27636799343643,438571.238434511
u,60,1.5,8,9,0.230690960402824,438571.238434486
V,60,1.5,8,9,0.329367353232931,438571.238434486
W,60,1.5,8,9,0.276368141873641,438571.238434486
u,60,1.5,8,10,0.230691000943146,438571.238434483
V,60,1.5,8,10,0.329367321732213,438571.238434483
W,60,1.5,8,10,0.276368190328054,438571.238434483
u,60,1.5,9,0,0.329528919924617,NaN
u,60,1.5,9,1,0.209007732025404,439751.609948177
V,60,1.5,9,1,0.354185049448134,439751.609948177
W,60,1.5,9,1,0.30303448455695,439751.609948177
u,60,1.5,9,2,0.208082220748689,439726.934997082
V,60,1.5,9,2,0.327250434093103,439726.934997082
W,60,1.5,9,2,0.295732472996289,439726.934997082
u,60,1.5,9,3,0.208524511036573,439726.319536551
V,60,1.5,9,3,0.324668598442031,439726.319536551
W,60,1.5,9,3,0.296347711026586,439726.319536551
u,60,1.5,9,4,0.208671809521191,439726.292466609
V,60,1.5,9,4,0.324184477200094,439726.292466609
W,60,1.5,9,4,0.296614622490734,439726.292466609
u,60,1.5,9,5,0.208713453353093,439726.290946518
V,60,1.5,9,5,0.324075223375342,439726.290946518
W,60,1.5,9,5,0.296697693015877,439726.290946518
u,60,1.5,9,6,0.208724817493321,439726.290846837
V,60,1.5,9,6,0.324049086359695,439726.290846837
W,60,1.5,9,6,0.296722130202462,439726.290846837
u,60,1.5,9,7,0.208727881879975,439726.290839634
V,60,1.5,9,7,0.324042595231889,439726.290839634
W,60,1.5,9,7,0.296729167757295,439726.290839634
u,60,1.5,9,8,0.208728704340095,439726.290839081
V,60,1.5,9,8,0.324040927084147,439726.290839081
W,60,1.5,9,8,0.296731175105817,439726.290839081
u,60,1.5,9,9,0.208728924591005,439726.290839037
V,60,1.5,9,9,0.324040484385282,439726.290839037
W,60,1.5,9,9,0.296731745428456,439726.290839037
u,60,1.5,9,10,0.208728983474723,439726.290839033
V,60,1.5,9,10,0.324040363457044,439726.290839033
W,60,1.5,9,10,0.296731907330396,439726.290839033
u,60,1.5,10,0,0.337290299907517,NaN
u,60,1.5,10,1,0.219759416184263,437991.997417549
V,60,1.5,10,1,0.361247864686398,437991.997417549
W,60,1.5,10,1,0.295140407998508,437991.997417549
u,60,1.5,10,2,0.213755064281661,437973.419919395
V,60,1.5,10,2,0.334489714836353,437973.419919395
W,60,1.5,10,2,0.282785772750348,437973.419919395
u,60,1.5,10,3,0.213040253657773,437972.984949819
V,60,1.5,10,3,0.332008648275196,437972.984949819
W,60,1.5,10,3,0.28125646041065,437972.984949819
u,60,1.5,10,4,0.212923466587067,437972.966878327
V,60,1.5,10,4,0.331687593023817,437972.966878327
W,60,1.5,10,4,0.281001095440223,437972.966878327
u,60,1.5,10,5,0.21290225039657,437972.965944413
V,60,1.5,10,5,0.331641808806942,437972.965944413
W,60,1.5,10,5,0.280957398653476,437972.965944413
u,60,1.5,10,6,0.212898214982587,437972.965890635
V,60,1.5,10,6,0.331635341070902,437972.965890635
W,60,1.5,10,6,0.280949951020808,437972.965890635
u,60,1.5,10,7,0.212897427703285,437972.965887354
V,60,1.5,10,7,0.331634539077761,437972.965887354
W,60,1.5,10,7,0.280948714630354,437972.965887354
u,60,1.5,10,8,0.21289727163056,437972.965887148
V,60,1.5,10,8,0.331634483218687,437972.965887148
W,60,1.5,10,8,0.280948523228561,437972.965887148
u,60,1.5,10,9,0.21289724038086,437972.965887134
V,60,1.5,10,9,0.331634496460627,437972.965887134
W,60,1.5,10,9,0.280948498582787,437972.965887134
u,60,1.5,10,10,0.212897234093529,437972.965887132
