factor,dim,SNR,seed,iteration,stat_err,optim_loss
V,60,1.5,11,6,0.301728664558184,438026.282949832
W,60,1.5,11,6,0.233494688378627,438026.282949832
u,60,1.5,11,7,0.250459453144458,438026.282814919
V,60,1.5,11,7,0.301733074148086,438026.282814919
W,60,1.5,11,7,0.23349851440792,438026.282814919
u,60,1.5,11,8,0.250459822085875,438026.282780217
V,60,1.5,11,8,0.301734274831841,438026.282780217
W,60,1.5,11,8,0.233499567710502,438026.282780217
u,60,1.5,11,9,0.250459903217982,438026.282771038
V,60,1.5,11,9,0.301734593587205,438026.282771038
W,60,1.5,11,9,0.233499854028743,438026.282771038
u,60,1.5,11,10,0.250459920840489,438026.282768585
V,60,1.5,11,10,0.301734676869316,438026.282768585
W,60,1.5,11,10,0.233499931414097,438026.282768585
u,60,1.5,12,0,0.351133084400409,NaN
u,60,1.5,12,1,0.230662217248009,438684.797633959
V,60,1.5,12,1,0.361089068544508,438684.797633959
W,60,1.5,12,1,0.251982409971365,438684.797633959
u,60,1.5,12,2,0.227529530453403,438662.701086431
V,60,1.5,12,2,0.347107859210191,438662.701086431
W,60,1.5,12,2,0.246568112997229,438662.701086431
u,60,1.5,12,3,0.22730599543003,438662.058505904
V,60,1.5,12,3,0.345834781360005,438662.058505904
W,60,1.5,12,3,0.246456770528273,438662.058505904
u,60,1.5,12,4,0.227255279416958,438662.018323776
V,60,1.5,12,4,0.345514947377844,438662.018323776
W,60,1.5,12,4,0.24643961369758,438662.018323776
u,60,1.5,12,5,0.227239055541306,438662.012809163
V,60,1.5,12,5,0.345410515628744,438662.012809163
W,60,1.5,12,5,0.246434325207028,438662.012809163
u,60,1.5,12,6,0.227233673333068,438662.011637655
V,60,1.5,12,6,0.345376476252623,438662.011637655
W,60,1.5,12,6,0.24643218513811,438662.011637655
u,60,1.5,12,7,0.227231893357839,438662.011351663
V,60,1.5,12,7,0.345365606647502,438662.011351663
W,60,1.5,12,7,0.246431273823031,438662.011351663
