q,N,seed,method,factor name,RI,ARI
80,20,1,G-JisstPCA2 (BIC),networkX2,0.950632911392405,0.90125
80,20,1,G-JisstPCA2 (BIC),networkY2,0.501582278481013,0.00265477787877471
80,20,1,iHOSVD,sample,1,1
80,20,1,iHOSVD,networkX1,1,1
80,20,1,iHOSVD,networkY1,1,1
80,20,1,iHOSVD,networkX2,0.547151898734177,0.0941659121321143
80,20,1,iHOSVD,networkY2,0.493987341772152,-0.0138300997288876
80,20,1,iHOOI,sample,1,1
80,20,1,iHOOI,networkX1,1,1
80,20,1,iHOOI,networkY1,1,1
80,20,1,iHOOI,networkX2,0.646835443037975,0.295386976119689
80,20,1,iHOOI,networkY2,0.509177215189873,0.0185447141316937
80,40,1,JisstPCA0 (oracle),sample,1,1
80,40,1,JisstPCA0 (oracle),networkX1,0.711708860759494,0.434622896009075
80,40,1,JisstPCA0 (oracle),networkY1,1,1
80,40,1,JisstPCA0 (oracle),networkX2,1,1
80,40,1,JisstPCA0 (oracle),networkY2,1,1
80,40,1,JisstPCA0 (BIC),sample,1,1
80,40,1,JisstPCA0 (BIC),networkX1,1,1
80,40,1,JisstPCA0 (BIC),networkY1,1,1
80,40,1,JisstPCA0 (BIC),networkX2,1,1
80,40,1,JisstPCA0 (BIC),networkY2,1,1
80,40,1,G-JisstPCA0 (oracle),sample,1,1
80,40,1,G-JisstPCA0 (oracle),networkX1,1,1
80,40,1,G-JisstPCA0 (oracle),networkY1,1,1
80,40,1,G-JisstPCA0 (oracle),networkX2,1,1
80,40,1,G-JisstPCA0 (oracle),networkY2,1,1
80,40,1,G-JisstPCA0 (BIC),sample,1,1
80,40,1,G-JisstPCA0 (BIC),networkX1,1,1
80,40,1,G-JisstPCA0 (BIC),networkY1,1,1
80,40,1,G-JisstPCA0 (BIC),networkX2,1,1
80,40,1,G-JisstPCA0 (BIC),networkY2,1,1
80,40,1,JisstPCA2 (oracle),sample,1,1
80,40,1,JisstPCA2 (oracle),networkX1,1,1
80,40,1,JisstPCA2 (oracle),networkY1,1,1
80,40,1,JisstPCA2 (oracle),networkX2,1,1
80,40,1,JisstPCA2 (oracle),networkY2,1,1
80,40,1,JisstPCA2 (BIC),sample,1,1
80,40,1,JisstPCA2 (BIC),networkX1,1,1
80,40,1,JisstPCA2 (BIC),networkY1,1,1
80,40,1,JisstPCA2 (BIC),networkX2,1,1
80,40,1,JisstPCA2 (BIC),networkY2,1,1
80,40,1,G-JisstPCA2 (oracle),sample,1,1
80,40,1,G-JisstPCA2 (oracle),networkX1,1,1
80,40,1,G-JisstPCA2 (oracle),networkY1,1,1
80,40,1,G-JisstPCA2 (oracle),networkX2,1,1
80,40,1,G-JisstPCA2 (oracle),networkY2,1,1
80,40,1,G-JisstPCA2 (BIC),sample,1,1
80,40,1,G-JisstPCA2 (BIC),networkX1,1,1
80,40,1,G-JisstPCA2 (BIC),networkY1,1,1
80,40,1,G-JisstPCA2 (BIC),networkX2,1,1
80,40,1,G-JisstPCA2 (BIC),networkY2,1,1
80,40,1,iHOSVD,sample,1,1
80,40,1,iHOSVD,networkX1,0.759810126582279,0.471531387656462
80,40,1,iHOSVD,networkY1,1,1
80,40,1,iHOSVD,networkX2,0.574683544303797,0.153139356814701
80,40,1,iHOSVD,networkY2,0.633227848101266,0.266391045517551
80,40,1,iHOOI,sample,1,1
80,40,1,iHOOI,networkX1,0.756962025316456,0.468132854578097
80,40,1,iHOOI,networkY1,1,1
80,40,1,iHOOI,networkX2,0.574683544303797,0.153139356814701
80,40,1,iHOOI,networkY2,0.675949367088608,0.351395730706076
50,20,2,JisstPCA0 (oracle),sample,0.810526315789474,0.517562420651714
50,20,2,JisstPCA0 (oracle),networkX1,1,1
50,20,2,JisstPCA0 (oracle),networkY1,1,1
50,20,2,JisstPCA0 (oracle),networkX2,0.494936708860759,-0.0102560815358483
50,20,2,JisstPCA0 (oracle),networkY2,0.497142857142857,-0.00693888444088595
50,20,2,JisstPCA0 (BIC),sample,0.473684210526316,-0.0324964677752417
50,20,2,JisstPCA0 (BIC),networkX1,1,1
50,20,2,JisstPCA0 (BIC),networkY1,1,1
50,20,2,JisstPCA0 (BIC),networkX2,0.494936708860759,-0.0102560815358483
50,20,2,JisstPCA0 (BIC),networkY2,0.489795918367347,-0.0205271751807791
50,20,2,G-JisstPCA0 (oracle),sample,1,1
50,20,2,G-JisstPCA0 (oracle),networkX1,1,1
50,20,2,G-JisstPCA0 (oracle),networkY1,1,1
50,20,2,G-JisstPCA0 (oracle),networkX2,0.493670886075949,-0.0123013839056895
50,20,2,G-JisstPCA0 (oracle),networkY2,0.490612244897959,-0.0192000000000001
50,20,2,G-JisstPCA0 (BIC),sample,0.478947368421053,-0.101159114857745
50,20,2,G-JisstPCA0 (BIC),networkX1,1,1
50,20,2,G-JisstPCA0 (BIC),networkY1,1,1
50,20,2,G-JisstPCA0 (BIC),networkX2,0.496518987341772,-0.00711532760154167
50,20,2,G-JisstPCA0 (BIC),networkY2,0.490612244897959,-0.0192000000000001
50,20,2,JisstPCA2 (oracle),sample,1,1
50,20,2,JisstPCA2 (oracle),networkX1,1,1
50,20,2,JisstPCA2 (oracle),networkY1,1,1
50,20,2,JisstPCA2 (oracle),networkX2,1,1
50,20,2,JisstPCA2 (oracle),networkY2,0.96,0.919990669465827
50,20,2,JisstPCA2 (BIC),sample,1,1
50,20,2,JisstPCA2 (BIC),networkX1,1,1
50,20,2,JisstPCA2 (BIC),networkY1,1,1
50,20,2,JisstPCA2 (BIC),networkX2,1,1
50,20,2,JisstPCA2 (BIC),networkY2,0.96,0.919990669465827
50,20,2,G-JisstPCA2 (oracle),sample,1,1
50,20,2,G-JisstPCA2 (oracle),networkX1,1,1
50,20,2,G-JisstPCA2 (oracle),networkY1,1,1
50,20,2,G-JisstPCA2 (oracle),networkX2,1,1
50,20,2,G-JisstPCA2 (oracle),networkY2,0.96,0.919990669465827
50,20,2,G-JisstPCA2 (BIC),sample,1,1
50,20,2,G-JisstPCA2 (BIC),networkX1,1,1
50,20,2,G-JisstPCA2 (BIC),networkY1,1,1
50,20,2,G-JisstPCA2 (BIC),networkX2,1,1
50,20,2,G-JisstPCA2 (BIC),networkY2,0.96,0.919990669465827
50,20,2,iHOSVD,sample,1,1
