q,N,seed,method,factor name,factor number,err
80,20,1,JisstPCA2 (BIC),V,2,0.400515983689269
80,20,1,JisstPCA2 (BIC),W,2,0.662732020612666
80,20,1,G-JisstPCA2 (oracle),u,1,0.0440363095180938
80,20,1,G-JisstPCA2 (oracle),V,1,0.06921520335734
80,20,1,G-JisstPCA2 (oracle),W,1,0.111486601666771
80,20,1,G-JisstPCA2 (oracle),u,2,0.350135939858865
80,20,1,G-JisstPCA2 (oracle),V,2,0.404637152370281
80,20,1,G-JisstPCA2 (oracle),W,2,0.999983120280095
80,20,1,G-JisstPCA2 (BIC),u,1,0.0440363095180938
80,20,1,G-JisstPCA2 (BIC),V,1,0.06921520335734
80,20,1,G-JisstPCA2 (BIC),W,1,0.111486601666771
80,20,1,G-JisstPCA2 (BIC),u,2,0.350135939858865
80,20,1,G-JisstPCA2 (BIC),V,2,0.404637152370281
80,20,1,G-JisstPCA2 (BIC),W,2,0.999983120280095
80,20,1,iHOSVD,u,1,0.055758055137976
80,20,1,iHOSVD,V,1,0.0772306703041127
80,20,1,iHOSVD,W,1,0.127408485316213
80,20,1,iHOSVD,u,2,0.376527522438981
80,20,1,iHOSVD,V,2,0.943723262174391
80,20,1,iHOSVD,W,2,0.999382717035443
80,20,1,iHOOI,u,1,0.041058055107984
80,20,1,iHOOI,V,1,0.0755025766986022
80,20,1,iHOOI,W,1,0.111749229225693
80,20,1,iHOOI,u,2,0.34569056970243
80,20,1,iHOOI,V,2,0.764303019498659
80,20,1,iHOOI,W,2,0.986592793664603
80,40,1,JisstPCA0 (oracle),u,1,0.0851029919307194
80,40,1,JisstPCA0 (oracle),V,1,0.0616038723310119
80,40,1,JisstPCA0 (oracle),W,1,0.0974808940629548
80,40,1,JisstPCA0 (oracle),u,2,0.188461862830048
80,40,1,JisstPCA0 (oracle),V,2,0.141795042394508
80,40,1,JisstPCA0 (oracle),W,2,0.210047140997394
80,40,1,JisstPCA0 (BIC),u,1,0.0851029919307194
80,40,1,JisstPCA0 (BIC),V,1,0.0616038723310119
80,40,1,JisstPCA0 (BIC),W,1,0.0974808940629548
80,40,1,JisstPCA0 (BIC),u,2,0.188461862830048
80,40,1,JisstPCA0 (BIC),V,2,0.141795042394508
80,40,1,JisstPCA0 (BIC),W,2,0.210047140997394
80,40,1,G-JisstPCA0 (oracle),u,1,0.0860142206698854
80,40,1,G-JisstPCA0 (oracle),V,1,0.0616502646291114
80,40,1,G-JisstPCA0 (oracle),W,1,0.0975177071668405
80,40,1,G-JisstPCA0 (oracle),u,2,0.175846059096252
80,40,1,G-JisstPCA0 (oracle),V,2,0.142727121236427
80,40,1,G-JisstPCA0 (oracle),W,2,0.208116651796509
80,40,1,G-JisstPCA0 (BIC),u,1,0.0860142206698854
80,40,1,G-JisstPCA0 (BIC),V,1,0.0616502646291114
80,40,1,G-JisstPCA0 (BIC),W,1,0.0975177071668405
80,40,1,G-JisstPCA0 (BIC),u,2,0.175846059096252
80,40,1,G-JisstPCA0 (BIC),V,2,0.142727121236427
80,40,1,G-JisstPCA0 (BIC),W,2,0.208116651796509
80,40,1,JisstPCA2 (oracle),u,1,0.0851029919307194
80,40,1,JisstPCA2 (oracle),V,1,0.0616038723310119
80,40,1,JisstPCA2 (oracle),W,1,0.0974808940629548
80,40,1,JisstPCA2 (oracle),u,2,0.124130865220285
80,40,1,JisstPCA2 (oracle),V,2,0.139999697116694
