"diagonal","SNR","seed","method","factor.name","factor.number","err"
0,8.5,1,"JisstPCA1 (oracle)","u",2,0.140062794001323
0,8.5,1,"JisstPCA1 (oracle)","V",2,0.248536182472877
0,8.5,1,"JisstPCA1 (oracle)","W",2,0.286656797408754
0,8.5,1,"iHOSVD","u",1,0.0341915286451059
0,8.5,1,"iHOSVD","V",1,0.103954381396957
0,8.5,1,"iHOSVD","W",1,0.0796263007068229
0,8.5,1,"iHOSVD","u",2,0.169488546186678
0,8.5,1,"iHOSVD","V",2,0.35279621989278
0,8.5,1,"iHOSVD","W",2,0.347991591899637
0,8.5,1,"iHOOI","u",1,0.0324200221565758
0,8.5,1,"iHOOI","V",1,0.0955558903009232
0,8.5,1,"iHOOI","W",1,0.0770425319194764
0,8.5,1,"iHOOI","u",2,0.154330034564676
0,8.5,1,"iHOOI","V",2,0.295435937109774
0,8.5,1,"iHOOI","W",2,0.33531423364339
0,12.5,1,"JisstPCA0 (BIC)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA0 (BIC)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA0 (BIC)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA0 (BIC)","u",2,0.0523511335294037
0,12.5,1,"JisstPCA0 (BIC)","V",2,0.111595869964987
0,12.5,1,"JisstPCA0 (BIC)","W",2,0.075084538742836
0,12.5,1,"JisstPCA0 (BIC top)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA0 (BIC top)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA0 (BIC top)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA0 (BIC top)","u",2,0.0523511335294037
0,12.5,1,"JisstPCA0 (BIC top)","V",2,0.111595869964987
0,12.5,1,"JisstPCA0 (BIC top)","W",2,0.075084538742836
0,12.5,1,"JisstPCA0 (oracle)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA0 (oracle)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA0 (oracle)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA0 (oracle)","u",2,0.0523511335294037
0,12.5,1,"JisstPCA0 (oracle)","V",2,0.111595869964987
0,12.5,1,"JisstPCA0 (oracle)","W",2,0.075084538742836
0,12.5,1,"JisstPCA1 (BIC)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA1 (BIC)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA1 (BIC)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA1 (BIC)","u",2,0.1248267999093
0,12.5,1,"JisstPCA1 (BIC)","V",2,0.217348046465503
0,12.5,1,"JisstPCA1 (BIC)","W",2,0.270058089725252
0,12.5,1,"JisstPCA1 (BIC top)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA1 (BIC top)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA1 (BIC top)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA1 (BIC top)","u",2,0.1248267999093
0,12.5,1,"JisstPCA1 (BIC top)","V",2,0.217348046465503
0,12.5,1,"JisstPCA1 (BIC top)","W",2,0.270058089725252
0,12.5,1,"JisstPCA1 (oracle)","u",1,0.0222301618002156
0,12.5,1,"JisstPCA1 (oracle)","V",1,0.0561738953155902
0,12.5,1,"JisstPCA1 (oracle)","W",1,0.0406658387145624
0,12.5,1,"JisstPCA1 (oracle)","u",2,0.1248267999093
0,12.5,1,"JisstPCA1 (oracle)","V",2,0.217348046465503
0,12.5,1,"JisstPCA1 (oracle)","W",2,0.270058089725252
0,12.5,1,"iHOSVD","u",1,0.024482236491674
0,12.5,1,"iHOSVD","V",1,0.0774753676901705
0,12.5,1,"iHOSVD","W",1,0.0674309402766637
0,12.5,1,"iHOSVD","u",2,0.145987424619317
0,12.5,1,"iHOSVD","V",2,0.285568166356855
0,12.5,1,"iHOSVD","W",2,0.329527591632804
0,12.5,1,"iHOOI","u",1,0.0239598516156526
0,12.5,1,"iHOOI","V",1,0.0744429474946731
0,12.5,1,"iHOOI","W",1,0.0677304117407734
0,12.5,1,"iHOOI","u",2,0.142625278235166
0,12.5,1,"iHOOI","V",2,0.268699929544921
0,12.5,1,"iHOOI","W",2,0.32858621154256
0,25,1,"JisstPCA0 (BIC)","u",1,0.0131928436106759
0,25,1,"JisstPCA0 (BIC)","V",1,0.028734655004919
0,25,1,"JisstPCA0 (BIC)","W",1,0.023146073548899
0,25,1,"JisstPCA0 (BIC)","u",2,0.0250876011493002
0,25,1,"JisstPCA0 (BIC)","V",2,0.0552328374348658
0,25,1,"JisstPCA0 (BIC)","W",2,0.0374639564006939
0,25,1,"JisstPCA0 (BIC top)","u",1,0.0131928436106759
0,25,1,"JisstPCA0 (BIC top)","V",1,0.028734655004919
0,25,1,"JisstPCA0 (BIC top)","W",1,0.023146073548899
0,25,1,"JisstPCA0 (BIC top)","u",2,0.0250876011493002
0,25,1,"JisstPCA0 (BIC top)","V",2,0.0552328374348658
0,25,1,"JisstPCA0 (BIC top)","W",2,0.0374639564006939
0,25,1,"JisstPCA0 (oracle)","u",1,0.0131928436106759
0,25,1,"JisstPCA0 (oracle)","V",1,0.028734655004919
0,25,1,"JisstPCA0 (oracle)","W",1,0.023146073548899
0,25,1,"JisstPCA0 (oracle)","u",2,0.0250876011493002
0,25,1,"JisstPCA0 (oracle)","V",2,0.0552328374348658
0,25,1,"JisstPCA0 (oracle)","W",2,0.0374639564006939
0,25,1,"JisstPCA1 (BIC)","u",1,0.0131928436106759
0,25,1,"JisstPCA1 (BIC)","V",1,0.028734655004919
0,25,1,"JisstPCA1 (BIC)","W",1,0.023146073548899
0,25,1,"JisstPCA1 (BIC)","u",2,0.114776624541001
0,25,1,"JisstPCA1 (BIC)","V",2,0.19525284664314
0,25,1,"JisstPCA1 (BIC)","W",2,0.259037587408838
0,25,1,"JisstPCA1 (BIC top)","u",1,0.0131928436106759
0,25,1,"JisstPCA1 (BIC top)","V",1,0.028734655004919
0,25,1,"JisstPCA1 (BIC top)","W",1,0.023146073548899
0,25,1,"JisstPCA1 (BIC top)","u",2,0.114776624541001
0,25,1,"JisstPCA1 (BIC top)","V",2,0.19525284664314
0,25,1,"JisstPCA1 (BIC top)","W",2,0.259037587408838
0,25,1,"JisstPCA1 (oracle)","u",1,0.0131928436106759
0,25,1,"JisstPCA1 (oracle)","V",1,0.028734655004919
0,25,1,"JisstPCA1 (oracle)","W",1,0.023146073548899
0,25,1,"JisstPCA1 (oracle)","u",2,0.114776624541001
0,25,1,"JisstPCA1 (oracle)","V",2,0.19525284664314
0,25,1,"JisstPCA1 (oracle)","W",2,0.259037587408838
0,25,1,"iHOSVD","u",1,0.0161316670275629
0,25,1,"iHOSVD","V",1,0.0570169348210164
0,25,1,"iHOSVD","W",1,0.061596511315496
0,25,1,"iHOSVD","u",2,0.134980459126008
0,25,1,"iHOSVD","V",2,0.25231234639212
0,25,1,"iHOSVD","W",2,0.325541993005375
0,25,1,"iHOOI","u",1,0.0160792855232295
0,25,1,"iHOOI","V",1,0.0563433552680596
0,25,1,"iHOOI","W",1,0.0620550164566502
0,25,1,"iHOOI","u",2,0.134830793668216
0,25,1,"iHOOI","V",2,0.250424080030736
0,25,1,"iHOOI","W",2,0.325972151101362
1,4,1,"JisstPCA0 (BIC)","u",1,0.0429854002543657
1,4,1,"JisstPCA0 (BIC)","V",1,0.134724488160457
1,4,1,"JisstPCA0 (BIC)","W",1,0.0962266635646314
1,4,1,"JisstPCA0 (BIC)","u",2,0.0955693486857343
1,4,1,"JisstPCA0 (BIC)","V",2,0.209906718328584
1,4,1,"JisstPCA0 (BIC)","W",2,0.144650467728748
1,4,1,"JisstPCA0 (BIC top)","u",1,0.0429854002543657
1,4,1,"JisstPCA0 (BIC top)","V",1,0.134724488160457
1,4,1,"JisstPCA0 (BIC top)","W",1,0.0962266635646314
1,4,1,"JisstPCA0 (BIC top)","u",2,0.0955693486857343
1,4,1,"JisstPCA0 (BIC top)","V",2,0.209906718328584
1,4,1,"JisstPCA0 (BIC top)","W",2,0.144650467728748
1,4,1,"JisstPCA0 (oracle)","u",1,0.0429854002543657
