method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,24,6,0
truth,V,1,25,6,0
truth,V,1,26,6,0
truth,V,1,27,6,0
truth,V,1,28,6,0
truth,V,1,29,6,0
truth,V,1,30,6,0
truth,V,1,31,6,0
truth,V,1,32,6,0
truth,V,1,33,6,0
truth,V,1,34,6,0
truth,V,1,35,6,0
truth,V,1,36,6,0
truth,V,1,37,6,0
truth,V,1,38,6,0
truth,V,1,39,6,0
truth,V,1,40,6,0
truth,V,1,41,6,0
truth,V,1,42,6,0
truth,V,1,43,6,0
truth,V,1,44,6,0
truth,V,1,45,6,0
truth,V,1,46,6,0
truth,V,1,47,6,0
truth,V,1,48,6,0
truth,V,1,49,6,0
truth,V,1,50,6,0
truth,V,1,1,7,0.00642949260359428
truth,V,1,2,7,0.0754297088335583
truth,V,1,3,7,0.14389000670277
truth,V,1,4,7,0.0142844772406814
truth,V,1,5,7,0.0486127939581995
truth,V,1,6,7,-0.0837062502427069
truth,V,1,7,7,0.0701181350131085
truth,V,1,8,7,-0.0768644107673007
truth,V,1,9,7,0.0306391528227296
truth,V,1,10,7,0.0359230991926531
truth,V,1,11,7,-0.0250906064865557
truth,V,1,12,7,0.0316736115511317
truth,V,1,13,7,-0.0431298814886632
truth,V,1,14,7,-0.0509051719824866
truth,V,1,15,7,0.0462654824373897
truth,V,1,16,7,-0.0535925132769366
truth,V,1,17,7,-0.0457244114764828
truth,V,1,18,7,-0.034692885477892
truth,V,1,19,7,-0.0688148595616339
truth,V,1,20,7,-0.0439110837211051
truth,V,1,21,7,0
truth,V,1,22,7,0
truth,V,1,23,7,0
truth,V,1,24,7,0
truth,V,1,25,7,0
truth,V,1,26,7,0
truth,V,1,27,7,0
truth,V,1,28,7,0
truth,V,1,29,7,0
truth,V,1,30,7,0
truth,V,1,31,7,0
truth,V,1,32,7,0
truth,V,1,33,7,0
truth,V,1,34,7,0
truth,V,1,35,7,0
truth,V,1,36,7,0
truth,V,1,37,7,0
truth,V,1,38,7,0
truth,V,1,39,7,0
truth,V,1,40,7,0
truth,V,1,41,7,0
truth,V,1,42,7,0
truth,V,1,43,7,0
truth,V,1,44,7,0
truth,V,1,45,7,0
truth,V,1,46,7,0
truth,V,1,47,7,0
truth,V,1,48,7,0
