scenario,orthogonal,SNR,seed,method,factor name,factor number,err
4,0,6.25,1,G-JisstPCA0 (oracle),V,2,0.135601151093346
4,0,6.25,1,G-JisstPCA0 (oracle),W,2,0.0980113447449967
4,0,6.25,1,JisstPCA1 (BIC),u,1,0.0212684405083797
4,0,6.25,1,JisstPCA1 (BIC),V,1,1
4,0,6.25,1,JisstPCA1 (BIC),W,1,0.0721719986440945
4,0,6.25,1,JisstPCA1 (BIC),u,2,0.154710384695018
4,0,6.25,1,JisstPCA1 (BIC),V,2,0.188791148359537
4,0,6.25,1,JisstPCA1 (BIC),W,2,0.348904348702217
4,0,6.25,1,JisstPCA1 (BIC top),u,1,0.0212684405083797
4,0,6.25,1,JisstPCA1 (BIC top),V,1,1
4,0,6.25,1,JisstPCA1 (BIC top),W,1,0.0721719986440945
4,0,6.25,1,JisstPCA1 (BIC top),u,2,0.154710384695018
4,0,6.25,1,JisstPCA1 (BIC top),V,2,0.188791148359537
4,0,6.25,1,JisstPCA1 (BIC top),W,2,0.348904348702217
4,0,6.25,1,JisstPCA1 (oracle),u,1,0.0227611940485447
4,0,6.25,1,JisstPCA1 (oracle),V,1,0.0845272570279786
4,0,6.25,1,JisstPCA1 (oracle),W,1,0.0721453140752866
4,0,6.25,1,JisstPCA1 (oracle),u,2,0.155777355253164
4,0,6.25,1,JisstPCA1 (oracle),V,2,0.260092508130561
4,0,6.25,1,JisstPCA1 (oracle),W,2,0.348899477906064
4,0,6.25,1,G-JisstPCA1 (BIC),u,1,0.0210048234117274
4,0,6.25,1,G-JisstPCA1 (BIC),V,1,0.0844062263318445
4,0,6.25,1,G-JisstPCA1 (BIC),W,1,0.0721272072776699
4,0,6.25,1,G-JisstPCA1 (BIC),u,2,0.156090848867515
4,0,6.25,1,G-JisstPCA1 (BIC),V,2,0.259916746471871
4,0,6.25,1,G-JisstPCA1 (BIC),W,2,0.348611121348262
4,0,6.25,1,G-JisstPCA1 (BIC top),u,1,0.0210048234117274
4,0,6.25,1,G-JisstPCA1 (BIC top),V,1,0.0844062263318445
4,0,6.25,1,G-JisstPCA1 (BIC top),W,1,0.0721272072776699
4,0,6.25,1,G-JisstPCA1 (BIC top),u,2,0.156090848867515
4,0,6.25,1,G-JisstPCA1 (BIC top),V,2,0.259916746471871
4,0,6.25,1,G-JisstPCA1 (BIC top),W,2,0.348611121348262
4,0,6.25,1,G-JisstPCA1 (oracle),u,1,0.0210048234117274
4,0,6.25,1,G-JisstPCA1 (oracle),V,1,0.0844062263318445
4,0,6.25,1,G-JisstPCA1 (oracle),W,1,0.0721272072776699
4,0,6.25,1,G-JisstPCA1 (oracle),u,2,0.156090848867515
4,0,6.25,1,G-JisstPCA1 (oracle),V,2,0.259916746471871
4,0,6.25,1,G-JisstPCA1 (oracle),W,2,0.348611121348262
4,0,6.25,1,iHOSVD,u,1,0.0285687988967639
4,0,6.25,1,iHOSVD,V,1,0.243486206889649
4,0,6.25,1,iHOSVD,W,1,0.307686574615453
4,0,6.25,1,iHOSVD,u,2,0.170974957676024
4,0,6.25,1,iHOSVD,V,2,0.435514922919027
4,0,6.25,1,iHOSVD,W,2,0.57608223236906
4,0,6.25,1,iHOOI,u,1,0.0288932184218929
4,0,6.25,1,iHOOI,V,1,0.259620118966305
4,0,6.25,1,iHOOI,W,1,0.310256309458016
4,0,6.25,1,iHOOI,u,2,0.166951445527229
4,0,6.25,1,iHOOI,V,2,0.443132964486966
4,0,6.25,1,iHOOI,W,2,0.57647212072686
4,0,8.5,1,JisstPCA0 (BIC),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA0 (BIC),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA0 (BIC),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA0 (BIC),u,2,0.47029773495675
4,0,8.5,1,JisstPCA0 (BIC),V,2,0.999999999999999
4,0,8.5,1,JisstPCA0 (BIC),W,2,1
4,0,8.5,1,JisstPCA0 (BIC top),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA0 (BIC top),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA0 (BIC top),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA0 (BIC top),u,2,0.47029773495675
4,0,8.5,1,JisstPCA0 (BIC top),V,2,0.190738821731846
4,0,8.5,1,JisstPCA0 (BIC top),W,2,0.398813827461353
4,0,8.5,1,JisstPCA0 (oracle),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA0 (oracle),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA0 (oracle),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA0 (oracle),u,2,0.994091615677808
4,0,8.5,1,JisstPCA0 (oracle),V,2,0.998120868330167
4,0,8.5,1,JisstPCA0 (oracle),W,2,0.993301466638558
4,0,8.5,1,G-JisstPCA0 (BIC),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA0 (BIC),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA0 (BIC),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA0 (BIC),u,2,0.0453769293725768
4,0,8.5,1,G-JisstPCA0 (BIC),V,2,0.0992663722832782
4,0,8.5,1,G-JisstPCA0 (BIC),W,2,0.0724113517377564
4,0,8.5,1,G-JisstPCA0 (BIC top),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA0 (BIC top),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA0 (BIC top),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA0 (BIC top),u,2,0.0453769293725768
4,0,8.5,1,G-JisstPCA0 (BIC top),V,2,0.0992663722832782
4,0,8.5,1,G-JisstPCA0 (BIC top),W,2,0.0724113517377564
4,0,8.5,1,G-JisstPCA0 (oracle),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA0 (oracle),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA0 (oracle),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA0 (oracle),u,2,0.0453769293725768
4,0,8.5,1,G-JisstPCA0 (oracle),V,2,0.0992663722832782
4,0,8.5,1,G-JisstPCA0 (oracle),W,2,0.0724113517377564
4,0,8.5,1,JisstPCA1 (BIC),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA1 (BIC),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA1 (BIC),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA1 (BIC),u,2,0.151032536265012
4,0,8.5,1,JisstPCA1 (BIC),V,2,0.247322679085702
4,0,8.5,1,JisstPCA1 (BIC),W,2,0.348565978344226
4,0,8.5,1,JisstPCA1 (BIC top),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA1 (BIC top),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA1 (BIC top),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA1 (BIC top),u,2,0.151032536265012
