diagonal,SNR,seed,method,factor name,factor number,err
0,5,1,G-JisstPCA1 (oracle),u,2,0.188062847113862
0,5,1,G-JisstPCA1 (oracle),V,2,0.447656153186729
0,5,1,G-JisstPCA1 (oracle),W,2,0.18498400118232
0,5,1,iHOSVD,u,1,0.080802318598982
0,5,1,iHOSVD,V,1,0.12848767734222
0,5,1,iHOSVD,W,1,0.10618009148151
0,5,1,iHOSVD,u,2,0.208704250464813
0,5,1,iHOSVD,V,2,0.608509498178268
0,5,1,iHOSVD,W,2,0.305183630001814
0,5,1,iHOOI,u,1,0.0766390488891067
0,5,1,iHOOI,V,1,0.129331574479153
0,5,1,iHOOI,W,1,0.0804954674879286
0,5,1,iHOOI,u,2,0.178580153992105
0,5,1,iHOOI,V,2,0.547875561415957
0,5,1,iHOOI,W,2,0.221898995065513
0,6.25,1,JisstPCA0 (BIC),u,1,0.0620324764641739
0,6.25,1,JisstPCA0 (BIC),V,1,0.0646414907119378
0,6.25,1,JisstPCA0 (BIC),W,1,0.063072228101749
0,6.25,1,JisstPCA0 (BIC),u,2,0.143121806035286
0,6.25,1,JisstPCA0 (BIC),V,2,0.105404199835261
0,6.25,1,JisstPCA0 (BIC),W,2,0.109192438703002
0,6.25,1,JisstPCA0 (BIC top),u,1,0.0620324764641739
0,6.25,1,JisstPCA0 (BIC top),V,1,0.0646414907119378
0,6.25,1,JisstPCA0 (BIC top),W,1,0.063072228101749
0,6.25,1,JisstPCA0 (BIC top),u,2,0.143121806035286
0,6.25,1,JisstPCA0 (BIC top),V,2,0.105404199835261
0,6.25,1,JisstPCA0 (BIC top),W,2,0.109192438703002
0,6.25,1,JisstPCA0 (oracle),u,1,0.0620324764641739
0,6.25,1,JisstPCA0 (oracle),V,1,0.0646414907119378
0,6.25,1,JisstPCA0 (oracle),W,1,0.063072228101749
0,6.25,1,JisstPCA0 (oracle),u,2,0.143121806035286
0,6.25,1,JisstPCA0 (oracle),V,2,0.105404199835261
0,6.25,1,JisstPCA0 (oracle),W,2,0.109192438703002
0,6.25,1,G-JisstPCA0 (BIC),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA0 (BIC),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA0 (BIC),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA0 (BIC),u,2,0.143419809468692
0,6.25,1,G-JisstPCA0 (BIC),V,2,0.105383323374648
0,6.25,1,G-JisstPCA0 (BIC),W,2,0.109135116949022
0,6.25,1,G-JisstPCA0 (BIC top),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA0 (BIC top),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA0 (BIC top),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA0 (BIC top),u,2,0.143419809468692
0,6.25,1,G-JisstPCA0 (BIC top),V,2,0.105383323374648
0,6.25,1,G-JisstPCA0 (BIC top),W,2,0.109135116949022
0,6.25,1,G-JisstPCA0 (oracle),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA0 (oracle),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA0 (oracle),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA0 (oracle),u,2,0.143419809468692
0,6.25,1,G-JisstPCA0 (oracle),V,2,0.105383323374648
0,6.25,1,G-JisstPCA0 (oracle),W,2,0.109135116949022
0,6.25,1,JisstPCA1 (BIC),u,1,0.0620324764641739
0,6.25,1,JisstPCA1 (BIC),V,1,0.0646414907119378
0,6.25,1,JisstPCA1 (BIC),W,1,0.063072228101749
0,6.25,1,JisstPCA1 (BIC),u,2,0.150626500375906
0,6.25,1,JisstPCA1 (BIC),V,2,0.442881611900063
0,6.25,1,JisstPCA1 (BIC),W,2,0.17082301783237
0,6.25,1,JisstPCA1 (BIC top),u,1,0.0620324764641739
0,6.25,1,JisstPCA1 (BIC top),V,1,0.0646414907119378
0,6.25,1,JisstPCA1 (BIC top),W,1,0.063072228101749
0,6.25,1,JisstPCA1 (BIC top),u,2,0.150626500375906
0,6.25,1,JisstPCA1 (BIC top),V,2,0.442881611900063
0,6.25,1,JisstPCA1 (BIC top),W,2,0.17082301783237
0,6.25,1,JisstPCA1 (oracle),u,1,0.0620324764641739
0,6.25,1,JisstPCA1 (oracle),V,1,0.0646414907119378
0,6.25,1,JisstPCA1 (oracle),W,1,0.063072228101749
0,6.25,1,JisstPCA1 (oracle),u,2,0.150626500375906
0,6.25,1,JisstPCA1 (oracle),V,2,0.442881611900063
0,6.25,1,JisstPCA1 (oracle),W,2,0.17082301783237
0,6.25,1,G-JisstPCA1 (BIC),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA1 (BIC),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA1 (BIC),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA1 (BIC),u,2,0.150824214919045
0,6.25,1,G-JisstPCA1 (BIC),V,2,0.442883947971177
0,6.25,1,G-JisstPCA1 (BIC),W,2,0.170752190892878
0,6.25,1,G-JisstPCA1 (BIC top),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA1 (BIC top),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA1 (BIC top),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA1 (BIC top),u,2,0.150824214919045
0,6.25,1,G-JisstPCA1 (BIC top),V,2,0.442883947971177
0,6.25,1,G-JisstPCA1 (BIC top),W,2,0.170752190892878
0,6.25,1,G-JisstPCA1 (oracle),u,1,0.0620443806547265
0,6.25,1,G-JisstPCA1 (oracle),V,1,0.0646423338999645
0,6.25,1,G-JisstPCA1 (oracle),W,1,0.0630794470210055
0,6.25,1,G-JisstPCA1 (oracle),u,2,0.150824214919045
0,6.25,1,G-JisstPCA1 (oracle),V,2,0.442883947971177
0,6.25,1,G-JisstPCA1 (oracle),W,2,0.170752190892878
0,6.25,1,iHOSVD,u,1,0.0643256130374036
0,6.25,1,iHOSVD,V,1,0.11833000495396
0,6.25,1,iHOSVD,W,1,0.0813767996507953
0,6.25,1,iHOSVD,u,2,0.159540042791634
0,6.25,1,iHOSVD,V,2,0.562249064817254
0,6.25,1,iHOSVD,W,2,0.25207906263287
0,6.25,1,iHOOI,u,1,0.0619849689761626
0,6.25,1,iHOOI,V,1,0.122279586081049
0,6.25,1,iHOOI,W,1,0.0689666359743555
0,6.25,1,iHOOI,u,2,0.143138609822259
0,6.25,1,iHOOI,V,2,0.542135122739103
0,6.25,1,iHOOI,W,2,0.21037939733013
0,8.5,1,JisstPCA0 (BIC),u,1,0.04681818285909
0,8.5,1,JisstPCA0 (BIC),V,1,0.047316344300096
0,8.5,1,JisstPCA0 (BIC),W,1,0.0465540396354481
0,8.5,1,JisstPCA0 (BIC),u,2,0.105421705988959
0,8.5,1,JisstPCA0 (BIC),V,2,0.0781433910721736
0,8.5,1,JisstPCA0 (BIC),W,2,0.0801774448556042
0,8.5,1,JisstPCA0 (BIC top),u,1,0.04681818285909
0,8.5,1,JisstPCA0 (BIC top),V,1,0.047316344300096
0,8.5,1,JisstPCA0 (BIC top),W,1,0.0465540396354481
0,8.5,1,JisstPCA0 (BIC top),u,2,0.105421705988959
0,8.5,1,JisstPCA0 (BIC top),V,2,0.0781433910721736
0,8.5,1,JisstPCA0 (BIC top),W,2,0.0801774448556042
0,8.5,1,JisstPCA0 (oracle),u,1,0.04681818285909
0,8.5,1,JisstPCA0 (oracle),V,1,0.047316344300096
0,8.5,1,JisstPCA0 (oracle),W,1,0.0465540396354481
0,8.5,1,JisstPCA0 (oracle),u,2,0.105421705988959
0,8.5,1,JisstPCA0 (oracle),V,2,0.0781433910721736
0,8.5,1,JisstPCA0 (oracle),W,2,0.0801774448556042
0,8.5,1,G-JisstPCA0 (BIC),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA0 (BIC),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA0 (BIC),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA0 (BIC),u,2,0.1055786795551
0,8.5,1,G-JisstPCA0 (BIC),V,2,0.0781340401755523
0,8.5,1,G-JisstPCA0 (BIC),W,2,0.0801577244745747
0,8.5,1,G-JisstPCA0 (BIC top),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA0 (BIC top),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA0 (BIC top),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA0 (BIC top),u,2,0.1055786795551
0,8.5,1,G-JisstPCA0 (BIC top),V,2,0.0781340401755523
0,8.5,1,G-JisstPCA0 (BIC top),W,2,0.0801577244745747
0,8.5,1,G-JisstPCA0 (oracle),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA0 (oracle),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA0 (oracle),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA0 (oracle),u,2,0.1055786795551
0,8.5,1,G-JisstPCA0 (oracle),V,2,0.0781340401755523
0,8.5,1,G-JisstPCA0 (oracle),W,2,0.0801577244745747
0,8.5,1,JisstPCA1 (BIC),u,1,0.04681818285909
0,8.5,1,JisstPCA1 (BIC),V,1,0.047316344300096
0,8.5,1,JisstPCA1 (BIC),W,1,0.0465540396354481
0,8.5,1,JisstPCA1 (BIC),u,2,0.111404126739149
0,8.5,1,JisstPCA1 (BIC),V,2,0.439493645476076
0,8.5,1,JisstPCA1 (BIC),W,2,0.158982500614634
0,8.5,1,JisstPCA1 (BIC top),u,1,0.04681818285909
0,8.5,1,JisstPCA1 (BIC top),V,1,0.047316344300096
